Date,occur_time,poss_date,poss_time,MaxOfnum_victims,Avg Day,UC2 Literal,neighborhood,x,y
10/12/17,0:00:00,10/12/17,6:00:00,3,Thu,LARCENY-FROM VEHICLE,Ormewood Park,-84.35556,33.73639
10/11/17,0:00:00,10/11/17,0:05:00,1,Wed,AGG ASSAULT,The Villages at Carver,-84.39276,33.71691
10/11/17,0:00:00,10/11/17,8:15:00,1,Tue,BURGLARY-RESIDENCE,West End,-84.4316,33.73601
10/11/17,0:00:00,10/9/17,0:00:00,1,Sun,LARCENY-FROM VEHICLE,Lakewood Heights,-84.37897,33.71257
10/10/17,0:00:00,10/10/17,0:25:00,2,Tue,AGG ASSAULT,Westview,-84.4446,33.73377
10/9/17,0:00:00,10/9/17,0:08:00,1,Mon,AGG ASSAULT,Downtown,-84.386,33.75641
10/9/17,0:00:00,10/8/17,0:00:00,1,Unk,LARCENY-NON VEHICLE,Morningside/Lenox Park,-84.3665,33.80144
10/8/17,0:00:00,10/8/17,2:30:00,1,Sun,AUTO THEFT,Midtown,-84.38535,33.78554
10/8/17,0:00:00,10/8/17,3:45:00,1,Sun,AUTO THEFT,Greenbriar,-84.49403,33.6697
10/6/17,0:00:00,10/6/17,4:50:00,1,Fri,LARCENY-FROM VEHICLE,Westwood Terrace,-84.45401,33.73784
10/6/17,0:00:00,10/6/17,5:00:00,1,Fri,LARCENY-FROM VEHICLE,Southwest,-84.46836,33.70309
10/4/17,0:00:00,10/4/17,7:50:00,1,Wed,LARCENY-FROM VEHICLE,Glenrose Heights,-84.39453,33.66993
10/3/17,0:00:00,10/1/17,0:00:00,1,Unk,LARCENY-NON VEHICLE,Downtown,-84.39635,33.75733
10/2/17,0:00:00,10/2/17,7:10:00,1,Mon,LARCENY-FROM VEHICLE,,-84.48556,33.75776
9/30/17,0:00:00,9/30/17,0:20:00,1,Unk,LARCENY-FROM VEHICLE,Polar Rock,-84.3978,33.69622
9/29/17,0:00:00,9/29/17,13:43:00,1,Unk,AUTO THEFT,Wisteria Gardens,-84.50599,33.75323
9/28/17,0:00:00,9/27/17,19:00:00,1,Tue,BURGLARY-RESIDENCE,West Highlands,-84.44919,33.78956
9/26/17,0:00:00,9/26/17,6:45:00,1,Tue,BURGLARY-NONRES,West End,-84.41422,33.73386
9/25/17,0:00:00,9/25/17,5:00:00,1,Mon,BURGLARY-NONRES,Sylvan Hills,-84.41113,33.69731
9/25/17,0:00:00,9/25/17,8:33:00,1,Mon,BURGLARY-RESIDENCE,,-84.30274,33.73845
9/25/17,0:00:00,9/25/17,13:19:00,1,Unk,AUTO THEFT,Fort Valley,-84.45149,33.70055
9/25/17,0:00:00,9/25/17,13:00:00,1,Mon,LARCENY-FROM VEHICLE,Lindbergh/Morosgo,-84.36713,33.82412
9/24/17,0:00:00,9/24/17,1:00:00,1,Sun,AGG ASSAULT,Piedmont Heights,-84.37506,33.80856
9/24/17,0:00:00,9/23/17,8:00:00,1,Sat,BURGLARY-RESIDENCE,Edgewood,-84.34371,33.75258
9/24/17,0:00:00,9/24/17,22:15:00,1,Sun,LARCENY-FROM VEHICLE,Downtown,-84.3858,33.75849
9/23/17,0:00:00,9/23/17,7:00:00,1,Sat,LARCENY-NON VEHICLE,Venetian Hills,-84.44674,33.7215
9/23/17,0:00:00,9/23/17,8:00:00,1,Unk,BURGLARY-RESIDENCE,Peoplestown,-84.38447,33.73122
9/22/17,0:00:00,9/22/17,0:55:00,1,Fri,AGG ASSAULT,Castleberry Hill,-84.40373,33.74378
9/22/17,0:00:00,9/1/17,0:00:00,1,Unk,LARCENY-NON VEHICLE,Downtown,-84.39252,33.76522
9/21/17,0:00:00,9/21/17,5:19:00,1,Thu,LARCENY-FROM VEHICLE,Kings Forest,-84.51312,33.69379
9/20/17,0:00:00,9/20/17,8:00:00,1,Wed,LARCENY-NON VEHICLE,The Villages at Carver,-84.39056,33.71276
9/20/17,0:00:00,9/18/17,8:00:00,1,Mon,LARCENY-NON VEHICLE,The Villages at Carver,-84.39291,33.71678
9/20/17,0:00:00,9/20/17,8:55:00,1,Unk,RAPE,,0,0
9/19/17,0:00:00,9/17/17,4:00:00,1,Sun,LARCENY-FROM VEHICLE,Adair Park,-84.4109,33.73812
9/18/17,0:00:00,9/18/17,1:00:00,2,Mon,ROBBERY-PEDESTRIAN,Buckhead Heights,-84.35574,33.84935
9/18/17,0:00:00,9/18/17,9:00:00,1,Sun,LARCENY-NON VEHICLE,Scotts Crossing,-84.46416,33.80595
9/18/17,0:00:00,9/18/17,5:00:00,1,Sun,LARCENY-NON VEHICLE,Bankhead,-84.42157,33.77341
9/17/17,0:00:00,9/17/17,22:54:00,1,Sun,AUTO THEFT,Chosewood Park,-84.38105,33.72186
9/16/17,0:00:00,9/16/17,15:00:00,1,Fri,LARCENY-FROM VEHICLE,Old Fourth Ward,-84.37662,33.76685
9/15/17,0:00:00,9/15/17,0:17:00,1,Fri,BURGLARY-RESIDENCE,West Highlands,-84.44919,33.78956
9/15/17,0:00:00,9/15/17,15:21:00,1,Fri,LARCENY-FROM VEHICLE,Mays,-84.50063,33.75004
9/13/17,0:00:00,9/13/17,4:16:00,1,Wed,BURGLARY-NONRES,Southwest,-84.48556,33.69621
9/13/17,0:00:00,9/13/17,8:00:00,2,Wed,LARCENY-FROM VEHICLE,,-84.493,33.7538
9/11/17,0:00:00,9/11/17,0:30:00,1,Mon,AUTO THEFT,Midtown,-84.3829,33.78222
