DATE,,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYDRYBULBTEMPF,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYStationPressure,,DAILYSunrise,DAILYSunset
1/4/17 6:53,,BKN:07 29,10,52,86,10,28.96,,744,1743
1/4/17 7:53,,FEW:02 21 OVC:08 29,10,52,77,9,28.99,,744,1743
1/4/17 8:42,,SCT:04 23 OVC:08 31,10,51,74,9,28.99,,744,1743
1/4/17 8:49,,SCT:04 20 BKN:07 28 OVC:08 33,10,52,72,8,28.99,,744,1743
1/4/17 8:53,,SCT:04 18 BKN:07 24 OVC:08 33,10,51,74,11,28.99,,744,1743
1/4/17 9:16,,FEW:02 20 SCT:04 26,10,49,71,14,29.02,,744,1743
1/4/17 9:53,,FEW:02 24,10,48,68,18,29.05,,744,1743
1/4/17 10:53,,SCT:04 23,10,47,69,14,29.06,,744,1743
1/4/17 11:53,,SCT:04 23,10,48,63,13,29.06,,744,1743
1/4/17 12:53,,SCT:04 26,10,50,57,8,29.05,,744,1743
1/4/17 13:53,,FEW:02 31,10,50,57,13,29.03,,744,1743
1/4/17 14:53,,CLR:00,10,49,55,15,29.03,,744,1743
1/4/17 15:53,,CLR:00,10,50,46,13,29.05,,744,1743
1/4/17 16:53,,CLR:00,10,48,48,10,29.06,,744,1743
1/4/17 17:53,,CLR:00,10,46,54,5,29.08,,744,1743
1/4/17 18:53,,CLR:00,10,45,42,7,29.08,,744,1743
1/4/17 19:53,,CLR:00,10,43,49,5,29.11,,744,1744
1/4/17 20:53,,CLR:00,10,42,47,9,29.11,,744,1744
1/4/17 21:53,,CLR:00,10,41,47,6,29.11,,744,1744
1/4/17 22:53,,CLR:00,10,39,53,5,29.11,,744,1744
1/4/17 23:53,,CLR:00,10,38,55,3,29.09,,744,1744
1/4/17 23:59,,,,,,,,,744,1744
1/5/17 0:53,,CLR:00,10,37,57,3,29.08,,744,1744
1/5/17 1:53,,CLR:00,10,33,72,3,29.08,,744,1744
1/5/17 2:53,,CLR:00,10,34,64,3,29.05,,744,1744
1/5/17 3:53,,CLR:00,10,30,82,0,29.05,,744,1744
1/5/17 4:53,,CLR:00,10,29,85,0,29.03,,744,1744
1/5/17 5:53,,CLR:00,10,30,85,0,29.05,,744,1744
1/5/17 6:53,,CLR:00,10,30,82,0,29.08,,744,1744
1/5/17 7:53,,CLR:00,10,30,82,0,29.08,,744,1744
1/5/17 8:53,,SCT:04 100,10,34,73,0,29.08,,744,1744
1/5/17 9:53,,BKN:07 100,10,37,67,3,29.08,,744,1744
1/5/17 10:53,,BKN:07 100,10,41,60,0,29.08,,744,1744
1/5/17 11:53,,SCT:04 90,10,47,48,8,29.03,,744,1744
1/5/17 12:53,,BKN:07 90,10,48,46,5,29.01,,744,1744
1/5/17 13:53,,CLR:00,10,52,41,11,28.98,,744,1744
1/5/17 14:53,,FEW:02 37 SCT:04 80,10,53,40,9,28.96,,744,1744
1/5/17 15:53,,OVC:08 80,10,53,41,5,28.97,,744,1744
1/5/17 16:53,,SCT:04 75,10,54,42,5,28.98,,744,1744
1/5/17 17:53,,BKN:07 55 OVC:08 70,10,52,45,6,28.99,,744,1744
1/5/17 18:53,,OVC:08 60,10,51,48,0,29,,744,1744
1/5/17 19:53,,OVC:08 60,10,51,48,0,28.99,,744,1744
1/5/17 20:53,,SCT:04 48 OVC:08 65,10,49,46,3,29.02,,744,1744
1/5/17 21:53,,OVC:08 45,10,48,48,3,29.02,,744,1744
1/5/17 22:53,,OVC:08 42,10,47,48,7,29.02,,744,1744
1/5/17 23:53,,OVC:08 39,10,44,51,8,29.03,,744,1744
1/5/17 23:59,,,,,,,,,744,1744
1/6/17 0:53,,OVC:08 39,10,43,53,8,29.03,,744,1744
1/6/17 1:53,,BKN:07 37 OVC:08 44,10,41,57,9,29.03,,744,1744
1/6/17 2:53,,OVC:08 42,10,40,60,8,29.05,,744,1744
1/6/17 3:53,,OVC:08 41,10,39,62,7,29.05,,744,1744
1/6/17 4:53,,SCT:04 41,10,37,67,6,29.06,,744,1744
1/6/17 5:53,,FEW:02 38 SCT:04 55 BKN:07 80,10,36,67,7,29.05,,744,1744
1/6/17 6:53,,OVC:08 40,10,36,67,10,29.08,,744,1744
1/6/17 7:53,,OVC:08 39,10,35,67,10,29.11,,744,1744
1/6/17 8:53,,OVC:08 38,10,35,67,11,29.13,,744,1744
1/6/17 9:53,,OVC:08 39,10,35,67,10,29.14,,744,1744
1/6/17 10:53,,OVC:08 38,10,35,64,8,29.16,,744,1744
1/6/17 11:53,,OVC:08 36,10,36,57,8,29.16,,744,1744
1/6/17 12:53,,OVC:08 37,10,35,57,13,29.14,,744,1744
1/6/17 13:53,,SCT:04 39 BKN:07 60 OVC:08 75,4,33,78,6,29.13,,744,1744
1/6/17 14:53,,OVC:08 80,9,33,78,6,29.13,,744,1744
1/6/17 15:36,,BKN:07 13 OVC:08 80,6,33,82,6,29.13,,744,1744
1/6/17 15:53,,BKN:07 11 OVC:08 80,10,33,78,11,29.12,,744,1744
1/6/17 16:22,,SCT:04 14 BKN:07 41 OVC:08 120,10,32,82,6,29.14,,744,1744
1/6/17 16:53,,FEW:02 13 SCT:04 75 OVC:08 100,10,32,82,6,29.14,,744,1744
1/6/17 17:53,,FEW:02 13 OVC:08 95,10,32,82,3,29.15,,744,1744
1/6/17 18:53,,OVC:08 80,10,32,79,6,29.14,,744,1744
1/6/17 19:22,,BKN:07 12 BKN:07 26 OVC:08 80,7,32,82,6,29.12,,744,1745
1/6/17 19:38,,SCT:04 11 SCT:04 47 OVC:08 75,9,32,82,6,29.17,,744,1745
1/6/17 19:51,,SCT:04 13 BKN:07 45 OVC:08 75,6,32,80,8,29.2,,744,1745
1/6/17 19:53,,SCT:04 11 BKN:07 45 OVC:08 75,6,32,82,8,29.2,,744,1745
1/6/17 20:07,,BKN:07 11 OVC:08 47,4,31,85,11,29.21,,744,1745
1/6/17 20:40,,BKN:07 10 BKN:07 55 OVC:08 70,7,31,85,9,29.17,,744,1745
1/6/17 20:49,,BKN:07 10 OVC:08 55,6,30,86,7,29.16,,744,1745
1/6/17 20:51,,BKN:07 10 OVC:08 55,6,30,86,5,29.16,,744,1745
1/6/17 20:53,,BKN:07 10 OVC:08 50,6,31,85,5,29.15,,744,1745
1/6/17 21:28,,OVC:08 10,6,31,85,5,29.15,,744,1745
1/6/17 21:42,,OVC:08 10,6,31,89,6,29.16,,744,1745
1/6/17 21:49,,OVC:08 9,5,30,93,6,29.17,,744,1745
1/6/17 21:53,,OVC:08 9,5,31,89,7,29.17,,744,1745
1/6/17 22:51,,OVC:08 8,7,30,86,8,29.15,,744,1745
1/6/17 22:53,,OVC:08 7,7,31,89,8,29.15,,744,1745
1/6/17 23:00,,OVC:08 7,6,31,89,9,29.16,,744,1745
1/6/17 23:14,,OVC:08 9,6,31,85,6,29.13,,744,1745
1/6/17 23:53,,OVC:08 8,6,30,85,7,29.16,,744,1745
1/6/17 23:59,,,,,,,,,744,1745
1/7/17 0:53,,OVC:08 9,10,29,82,7,29.17,,744,1745
1/7/17 1:12,,OVC:08 9,10,28,85,9,29.17,,744,1745
1/7/17 1:53,,OVC:08 9,8,27,85,10,29.16,,744,1745
1/7/17 2:53,,OVC:08 9,9,26,84,9,29.17,,744,1745
1/7/17 3:33,,OVC:08 11,5,25,81,13,29.19,,744,1745
1/7/17 3:53,,OVC:08 11,4,24,84,9,29.2,,744,1745
1/7/17 4:38,,OVC:08 11,7,24,84,9,29.21,,744,1745
1/7/17 4:53,,OVC:08 13,8,24,81,8,29.21,,744,1745
1/7/17 5:51,,OVC:08 15,5,23,80,15,29.25,,744,1745
1/7/17 5:53,,OVC:08 15,5,23,81,14,29.26,,744,1745
1/7/17 6:53,,OVC:08 17,10,22,78,7,29.3,,744,1745
1/7/17 7:51,,FEW:02 17 OVC:08 70,10,21,80,14,29.33,,744,1745
1/7/17 7:53,,FEW:02 17 OVC:08 70,10,22,75,16,29.33,,744,1745
1/7/17 8:53,,FEW:02 19,10,21,74,11,29.38,,744,1745
1/7/17 9:53,,CLR:00,10,23,74,15,29.42,,744,1745
1/7/17 10:53,,CLR:00,10,24,71,14,29.44,,744,1745
1/7/17 11:53,,CLR:00,10,25,72,16,29.45,,744,1745
1/7/17 12:53,,CLR:00,10,27,66,15,29.43,,744,1745
1/7/17 13:53,,CLR:00,10,29,61,13,29.43,,744,1745
1/7/17 14:53,,CLR:00,10,30,58,9,29.44,,744,1745
1/7/17 15:53,,CLR:00,10,29,51,14,29.47,,744,1745
1/7/17 16:53,,CLR:00,10,29,47,10,29.49,,744,1745
1/7/17 17:53,,CLR:00,10,26,51,8,29.51,,744,1745
1/7/17 18:53,,CLR:00,10,25,53,6,29.55,,744,1745
1/7/17 19:53,,CLR:00,10,25,50,7,29.57,,744,1746
1/7/17 20:53,,CLR:00,10,24,50,7,29.6,,744,1746
1/7/17 21:53,,CLR:00,10,23,53,8,29.62,,744,1746
1/7/17 22:53,,CLR:00,10,22,55,9,29.64,,744,1746
